	dim1	dim2
1001701101_G2	-8938.690708103275	-77.2370185515072
1001701101_G3	-9108.57645464454	-113.64763848316551
1001701101_G4	-9010.283453689646	-288.2928564909297
1001701101_G5	-8648.575124576497	57.16823396795327
1001701101_G7	-9146.622005110245	44.97445958516401
1001701101_G8	-8962.371651716558	-272.30002696205116
1001701101_G12	-8850.626763699809	494.9187829962289
1001701101_G15	-9231.3246435343	499.5138281869164
1001701101_G17	-8618.568354076928	38.2752974272573
1001701101_G18	-9125.221059000816	-172.88781079751087
1001701101_G19	-8772.750794270096	126.52717859820889
1001701101_G20	-9155.196350250657	-162.19605151477415
1001701101_G21	-8901.399731371792	333.0394627592374
1001701101_H1	-9054.68187552885	343.70457921274584
1001701101_H3	-8933.129327867713	279.61592021265125
1001701101_H4	-9073.099276172852	82.2160364289141
1001701101_H5	-8738.56341722033	-67.40639935863113
1001701101_H7	-9053.835131389145	-35.23873696797287
1001701101_H8	-9091.100432937976	124.12163217668034
1001701101_H9	-9084.180981050911	400.0944652629946
1001701101_H10	-8871.558782702785	337.17332279876314
1001701101_H13	-8688.023641068976	84.47885548304737
1001701101_H15	-8586.075926575662	370.77074007108575
1001701101_H17	-9008.98708187991	-197.46164708675013
1001701101_H18	-9045.509320277179	-320.3868864165404
1001701101_H19	-8998.994071351688	-28.748702226615553
1001701101_H20	-8986.202176042016	-141.63348068880921
1001701101_H21	-9069.976196517748	31.105593360143253
1001701101_H23	-9140.794904137683	177.49476955747016
1001701101_I1	-8979.391406993127	-167.5349251079642
1001701101_I2	-8752.493628317125	-147.14440837985944
1001701101_I4	-8951.609064196558	-187.01165994804256
1001701101_I6	-9086.573274872306	-205.76791962722538
1001701101_I12	-8783.056910915213	212.9921737321159
1001701101_I15	-9053.474605517195	288.6343257365837
1001701101_I16	-8722.52922413845	318.2713383159781
1001701101_I17	-8989.908227682576	60.94082663904896
1001701101_I19	-9030.864607498985	-29.498501697460416
1001701101_I20	-8725.322823623623	-148.13142535115733
1001701101_I21	-8841.676757862071	-255.9286711674152
1001701101_I22	-8779.882107797868	192.96731919078874
1001701101_I23	-9042.837108749312	70.9125102694618
1001701101_J1	-9061.034166669337	-169.59084572771798
