	dimension 1	dimension 2
1001701205_F7	8.392639	14.898829
1001701205_F9	18.967308	-33.627148
1001701205_F11	39.872356	-46.30928
1001701205_F12	15.832089	14.6624975
1001701205_F14	10.483587	-1.9446099
1001701205_F15	14.218969	-2.2559836
1001701205_F16	9.981394	4.2747755
1001701205_F17	-2.907297	-4.3034077
1001701205_F18	9.954782	-1.1222516
1001701205_F19	16.710926	1.4929781
1001701205_F20	5.216008	-6.3405194
1001701205_F21	5.369884	-27.698072
1001701205_G1	19.720535	-31.357365
1001701205_G4	6.917092	19.583845
1001701205_G8	-12.2781515	-1.7257327
1001701205_G12	-4.8545804	-4.4309535
1001701205_G13	-5.6990967	6.5768695
1001701205_G14	18.294981	17.200043
1001701205_G15	5.2747254	-6.220981
1001701205_G16	0.6120042	-10.944256
1001701205_G18	10.189664	17.084265
1001701205_G19	5.936998	8.343818
1001701205_G20	-12.703455	6.3869476
1001701205_G22	10.229542	2.0056562
1001701205_H1	-6.7503114	1.9318482
1001701205_H6	33.34129	-43.060665
1001701205_H9	8.471973	-23.132603
1001701205_H11	6.6242557	7.192595
1001701205_H13	5.1125264	-0.1484019
1001701205_H14	20.760548	-33.051342
1001701205_H16	9.87576	6.6408033
1001701205_H17	3.8138888	-2.4891174
1001701205_H18	14.958808	-0.7812996
1001701205_H20	14.292193	-0.77912575
1001701205_H22	0.10939477	-6.3610816
1001701205_I10	30.800026	-50.654488
1001701205_I12	-17.951628	-6.954705
1001701205_I13	9.66974	25.656532
1001701205_I14	1.4218521	3.4246156
1001701205_I15	8.333703	2.2172403
1001701205_I16	10.85916	5.269945
1001701205_I17	1.2056506	-8.278654
1001701205_I18	2.864444	2.5597513
1001701205_I19	3.7123647	-2.1100726
1001701205_I20	16.909517	14.205522
1001701205_I21	17.152256	15.362655
1001701205_I22	17.68116	-32.360634
1001701205_I23	-4.22805	-8.082522
1001701205_J1	16.783167	0.45995682
1001701205_J4	3.2064526	-3.2126708
1001701205_J14	14.326994	8.39198
1001701205_J15	6.2835927	0.6965899
1001701205_J16	-3.0297196	-6.361633
1001701205_J17	10.540309	-1.9329141
1001701205_J18	19.359062	-33.5231
1001701205_J19	5.9607015	-1.516879
1001701205_J20	4.035147	-2.2206895
1001701205_J21	-1.7274688	3.5118918
1001701205_J22	9.71521	9.96459
1001701205_J23	18.16844	-36.501846
1001701205_K4	-11.807852	0.11071576
1001701205_K9	42.2123	-49.70036
1001701205_K12	8.006633	3.8249176
1001701205_K13	17.88727	-0.55450886
1001701205_K14	-2.112048	-7.02971
1001701205_K15	7.9586887	-0.7225154
1001701205_K16	7.9492016	-13.391024
1001701205_K17	1.5754795	-18.015276
1001701205_K18	8.7231	4.969751
1001701205_K19	-26.01588	-14.631254
1001701205_L1	1.7449107	11.13823
1001701205_L2	31.58363	-47.40055
1001701205_L3	4.9310184	-9.581458
1001701205_L5	26.73864	-42.399982
1001701205_L10	6.80335	-6.609917
1001701205_L12	1.71972	-8.254122
1001701205_L13	3.4356	-0.4474085
1001701205_L14	-1.8368734	7.3503275
1001701205_L15	8.796701	0.7728949
1001701205_L18	-4.9603443	-5.561876
1001701205_L19	-27.246552	-1.6138746
