	dimension 1	dimension 2
1001701601_A15	-11.581661	-0.21318758
1001701601_A20	-3.2204523	6.834097
1001701601_A21	-9.802519	4.118095
1001701601_B10	-4.0546722	3.6169174
1001701601_B11	3.8052301	7.2676907
1001701601_B12	-5.3808165	2.2242994
1001701601_B13	-6.5374312	4.5760503
1001701601_B14	-0.8845679	9.596847
1001701601_B15	-4.097849	-3.6263065
1001701601_B16	-4.8352957	10.804855
1001701601_C2	7.6264997	0.64486074
1001701601_C10	-4.484816	-0.5161337
1001701601_C11	-2.7804296	10.327925
1001701601_C12	6.9035454	7.9771104
1001701601_C13	6.7367945	4.7182403
1001701601_C15	9.880382	7.8867636
1001701601_C16	2.0467439	7.177074
1001701601_D11	-6.012513	-1.9750789
1001701601_D12	5.96496	9.348897
1001701601_D13	-8.585964	-1.1395819
1001701601_D15	-8.653637	11.138038
1001701601_D16	-6.5752106	-3.541605
1001701601_D21	-4.3348203	4.040631
1001701601_E9	-8.079403	-9.960782
1001701601_E11	4.0021925	11.476982
1001701601_E12	-4.6255574	-7.9046807
1001701601_E13	-1.9133204	-7.6218877
1001701601_E16	-1.9425426	-3.9912462
1001701601_E22	9.08956	7.6514673
1001701601_F1	4.731666	10.129458
1001701601_F10	-13.0752325	0.7630115
1001701601_F11	-4.2903256	3.4602313
1001701601_F12	-7.27384	9.1931715
1001701601_F13	-2.4423747	1.8690994
1001701601_F14	2.8566606	2.71547
1001701601_F15	-1.217987	-0.97278124
1001701601_F16	-14.304061	3.9397008
1001701601_F17	5.9472847	5.651646
1001701601_G9	-8.764074	5.4872527
1001701601_G10	-8.931781	-9.221868
1001701601_G11	-4.0914745	3.2192287
1001701601_G12	5.7693896	6.9812884
1001701601_G13	-10.212886	7.1051693
1001701601_G15	2.329737	16.017208
1001701601_G16	-10.910867	-10.317125
1001701601_H10	-12.788307	1.7568287
1001701601_H11	0.077518	13.143531
1001701601_H12	-4.070347	-14.928608
1001701601_H14	5.0822825	-1.0638661
1001701601_H15	7.1301904	9.011047
1001701601_H22	-1.8420601	-10.834896
1001701601_I1	8.776937	2.2198308
1001701601_I6	4.880604	-1.3712456
1001701601_I9	-8.418773	5.6943564
1001701601_I10	-2.1343126	4.5659957
1001701601_I11	-9.942967	-0.6817737
1001701601_I12	-9.848092	6.592155
1001701601_I13	-13.93198	1.5667943
1001701601_I14	-8.337959	9.083204
1001701601_I18	-14.892874	2.710114
1001701601_J9	-8.641457	5.519276
1001701601_J10	-4.8542233	10.864208
1001701601_J14	9.210092	6.313738
1001701601_J16	-8.7205	6.468183
1001701601_J23	-9.796716	2.7739403
1001701601_K10	-10.668137	12.02569
1001701601_K11	1.3502192	-0.7142007
1001701601_K13	-6.103772	4.249544
1001701601_K15	-3.5459402	0.47602376
1001701601_K16	0.06327386	5.355366
1001701601_K22	3.5830426	-2.2073278
1001701601_L10	-7.753434	8.7943735
1001701601_L11	5.7443285	-7.203193
1001701601_L12	-13.067646	1.7335378
1001701601_L13	6.7219496	-7.303531
1001701601_L21	8.481138	1.6008722
1001701601_L23	-2.4726946	5.418922
1001701601_M9	12.885184	4.0596704
1001701601_M11	5.6512933	9.349943
1001701601_M13	-5.14246	6.300165
1001701601_M15	5.1775093	0.16894263
1001701601_M22	10.541159	10.107787
1001701601_N9	-8.508796	6.3169003
1001701601_N10	-5.9130106	2.237581
1001701601_N11	-5.0639634	-7.54723
1001701601_N12	2.6908207	5.912618
1001701601_N13	-1.7220672	-0.9947971
1001701601_N14	7.462203	-5.6064315
1001701601_N15	5.5534883	-3.3841312
1001701601_O12	-6.46334	4.8199506
1001701601_O14	-1.8850608	-6.077593
1001701601_O15	-16.177265	-1.1667119
