	dimension 1	dimension 2
1001701305_E8	-3.2351274	7.3486924
1001701305_E11	19.158718	-4.3431787
1001701305_F6	0.37283427	-11.925336
1001701305_G2	16.286703	5.078523
1001701305_G4	14.889124	-0.5923505
1001701305_G5	18.153463	-2.3524625
1001701305_G11	9.758278	-13.055936
1001701305_H6	18.201235	3.9548576
1001701305_H8	8.970253	-15.22719
1001701305_I1	26.934078	-9.173028
1001701305_I2	17.845398	4.019442
1001701305_I3	21.96905	9.015839
1001701305_I4	21.480541	-7.845863
1001701305_I5	6.4825816	-0.006631612
1001701305_I6	28.878431	-7.4360304
1001701305_I8	-5.5167875	16.538973
1001701305_I9	21.498373	-1.602345
1001701305_J1	3.6265023	6.681424
1001701305_J3	8.52185	8.101533
1001701305_J4	20.219027	0.051466618
1001701305_J7	10.641502	2.545125
1001701305_J10	-26.179575	-0.19918092
1001701305_J11	22.083786	8.904016
1001701305_K7	1.4613216	-17.783707
1001701305_K11	20.28101	-3.0905488
1001701305_L2	16.722973	-6.6066256
1001701305_L6	3.2065752	15.234622
1001701305_L9	21.78583	-7.135378
1001701305_L10	20.858225	-3.14125
1001701305_L11	-23.485655	-0.8227438
1001701305_M1	-11.68757	17.254595
1001701305_M2	27.412031	-9.132425
1001701305_M9	-17.260075	11.934644
1001701305_N3	-0.8211776	13.671837
1001701305_N10	12.065118	7.464546
1001701305_O1	14.967367	-5.4553003
1001701305_O2	13.320798	-2.9080305
1001701305_O5	14.329897	-8.385331
1001701305_O8	16.036644	8.031942
1001701305_O11	-3.5547836	10.41059
1001701305_P3	1.5157099	13.605453
1001701305_P10	-25.905436	-0.33126602
1001701305_P11	-1.9808624	-12.827639
1001701401_A1	6.741082	-7.5581956
1001701401_A2	-1.8611083	-13.724207
1001701401_A4	18.15508	-10.292139
1001701401_A5	-24.54027	-3.1368377
1001701401_A7	-2.120097	-12.76596
1001701401_A17	-13.144448	14.948786
1001701401_A21	-19.479233	5.2980247
1001701401_B2	6.9738307	-1.2921071
1001701401_B3	0.48132974	-15.680894
1001701401_B5	21.642435	-2.6699858
1001701401_B6	-2.33354	6.186885
1001701401_B8	-16.723177	16.652906
1001701401_B18	-20.367802	8.283624
1001701401_B21	-0.92914635	-17.013763
1001701401_B22	-18.772774	7.4750376
1001701401_B23	-25.443079	1.8034722
1001701401_C1	11.717179	-7.8060226
1001701401_C2	-26.459543	6.9624796
1001701401_C3	-29.360443	-5.233592
1001701401_C5	-23.937443	0.2465586
1001701401_C6	-22.500174	-2.1979852
1001701401_C7	8.340502	-3.4750981
1001701401_C8	-30.794954	-1.778974
1001701401_C18	-21.99401	9.691363
1001701401_C20	-13.801486	9.187386
1001701401_C22	-17.385324	5.638754
1001701401_D2	6.9493384	10.492433
1001701401_D4	15.955827	-14.44413
1001701401_D5	14.751297	-9.165394
1001701401_D6	5.9821634	9.57742
1001701401_D17	9.624438	2.8743505
1001701401_D18	-20.047895	6.6387773
1001701401_D21	-0.2166172	-2.1920607
1001701401_D22	-4.181811	-18.218506
1001701401_E1	-1.482292	-11.811844
1001701401_E2	13.311559	-13.293705
1001701401_E3	-24.197647	-2.0314016
